Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ADIG02,BT1,Pre-exposure,Control,124.134,177.279,70.02182999678473
ADIG02,BT1,Pre-exposure,Control,130.055,177.216,73.3878430841459
ADIG02,BT2,Pre-exposure,Control,128.84,191.833,67.16258412264835
ADIG02,BT2,Pre-exposure,Control,118.4,191.415,61.85513152051825
ADIG02,BT3,Pre-exposure,Heat-stressed,139.894,191.951,72.88005793145126
ADIG02,BT3,Pre-exposure,Heat-stressed,108.731,192.1,56.60124934929725
ADIG02,BT4,Pre-exposure,Heat-stressed,123.231,186.318,66.14014748977553
ADIG02,BT4,Pre-exposure,Heat-stressed,115.432,186.17,62.00354514690874
ADIG02,BT5,Pre-exposure,Heat-stressed,131.242,191.292,68.60820107479664
ADIG02,BT5,Pre-exposure,Heat-stressed,111.75,191.3,58.4161003659174
ADIG02,BT6,Pre-exposure,Control,145.701,183.079,79.58367699189967
ADIG02,BT6,Pre-exposure,Control,133.93,182.953,73.20459352948572
ADIG02,BT7,Pre-exposure,Heat-stressed,137.108,183.152,74.86022538656417
ADIG02,BT7,Pre-exposure,Heat-stressed,105.747,183.261,57.70294825412936
ADIG02,BT8,Pre-exposure,Control,136.922,193.577,70.7325767007444
ADIG02,BT8,Pre-exposure,Control,129.805,193.545,67.06709034074764
ADIG03,BT1,Pre-exposure,Control,112.887,179.204,62.993571572063125
ADIG03,BT1,Pre-exposure,Control,98.738,179.317,55.06337937841922
ADIG03,BT2,Pre-exposure,Control,97.031,183.562,52.86006907747791
ADIG03,BT2,Pre-exposure,Control,104.641,183.553,57.00860242000948
ADIG03,BT3,Pre-exposure,Heat-stressed,134.242,192.279,69.81625658548255
ADIG03,BT3,Pre-exposure,Heat-stressed,126.358,192.271,65.71869912779358
ADIG03,BT4,Pre-exposure,Heat-stressed,92.502,181.141,51.066296421020084
ADIG03,BT4,Pre-exposure,Heat-stressed,91.1,181.131,50.295090293765284
ADIG03,BT5,Pre-exposure,Heat-stressed,101.319,176.744,57.32528402661477
ADIG03,BT5,Pre-exposure,Heat-stressed,102.564,177.209,57.8774215756536
ADIG03,BT6,Pre-exposure,Control,125.52,176.636,71.06139178876333
ADIG03,BT6,Pre-exposure,Control,127.061,176.397,72.03127037307891
ADIG03,BT7,Pre-exposure,Heat-stressed,96.459,188.542,51.16048413616065
ADIG03,BT7,Pre-exposure,Heat-stressed,118.246,189.178,62.50515387624353
ADIG03,BT8,Pre-exposure,Control,129.747,192.131,67.53048701146615
ADIG03,BT8,Pre-exposure,Control,121.16,192.245,63.023745741111604
ADIG04,BT1,Pre-exposure,Control,111.274,172.627,64.45920974123399
ADIG04,BT1,Pre-exposure,Control,87.654,115.938,75.60420224602804
ADIG04,BT2,Pre-exposure,Control,108.001,177.072,60.992703533026116
ADIG04,BT2,Pre-exposure,Control,135.971,176.924,76.85277294205422
ADIG04,BT3,Pre-exposure,Heat-stressed,131.624,188.644,69.7737537371981
ADIG04,BT3,Pre-exposure,Heat-stressed,151.814,188.778,80.41932852345083
ADIG04,BT4,Pre-exposure,Heat-stressed,128.569,185.046,69.47948077775256
ADIG04,BT4,Pre-exposure,Heat-stressed,129.135,185.171,69.73824194933331
ADIG04,BT5,Pre-exposure,Heat-stressed,132.259,193.243,68.44180643024586
ADIG04,BT5,Pre-exposure,Heat-stressed,120.844,193.345,62.50174558431818
ADIG04,BT6,Pre-exposure,Control,98.138,173.796,56.467352528251524
ADIG04,BT6,Pre-exposure,Control,120.138,173.725,69.15412289538064
ADIG04,BT7,Pre-exposure,Heat-stressed,115.139,182.723,63.01286647001197
ADIG04,BT7,Pre-exposure,Heat-stressed,128.799,182.568,70.548507953201
ADIG04,BT8,Pre-exposure,Control,129.682,180.36,71.90175205145263
ADIG04,BT8,Pre-exposure,Control,147.601,180.368,81.83325201809633
ADIG05,BT1,Pre-exposure,Control,137.591,171.185,80.37561702251949
ADIG05,BT1,Pre-exposure,Control,123.393,171.03,72.14699175583232
ADIG05,BT2,Pre-exposure,Control,107.34,187.886,57.130387575444686
ADIG05,BT2,Pre-exposure,Control,118.922,187.872,63.299480497359895
ADIG05,BT3,Pre-exposure,Heat-stressed,117.994,192.225,61.383274808167506
ADIG05,BT3,Pre-exposure,Heat-stressed,124.064,191.666,64.72926862354304
ADIG05,BT4,Pre-exposure,Heat-stressed,148.084,198.06,74.76724224982328
ADIG05,BT4,Pre-exposure,Heat-stressed,157.991,198.008,79.7902104965456
ADIG05,BT5,Pre-exposure,Heat-stressed,117.786,184.245,63.9290075714402
ADIG05,BT5,Pre-exposure,Heat-stressed,143.265,184.674,77.57724422495856
ADIG05,BT6,Pre-exposure,Control,122.835,185.728,66.13703911095796
ADIG05,BT6,Pre-exposure,Control,125.905,186.475,67.5184341064486
ADIG05,BT7,Pre-exposure,Heat-stressed,112.361,186.25,60.32805369127517
ADIG05,BT7,Pre-exposure,Heat-stressed,96.262,186.6,51.58735262593783
ADIG05,BT8,Pre-exposure,Control,131.489,187.288,70.20684720857716
ADIG05,BT8,Pre-exposure,Control,139.709,187.383,74.55799085295891
ADIG06,BT1,Pre-exposure,Control,131.155,170.588,76.88407156423665
ADIG06,BT1,Pre-exposure,Control,118.143,170.946,69.11129830472781
ADIG06,BT2,Pre-exposure,Control,96.398,172.347,55.93250825369748
ADIG06,BT2,Pre-exposure,Control,128.056,172.523,74.22546559009524
ADIG06,BT3,Pre-exposure,Heat-stressed,101.02,182.729,55.28405452883778
ADIG06,BT3,Pre-exposure,Heat-stressed,123.842,182.288,67.93754937242166
ADIG06,BT4,Pre-exposure,Heat-stressed,114.367,174.008,65.72513907406557
ADIG06,BT4,Pre-exposure,Heat-stressed,92.28,174.298,52.94380887904623
ADIG06,BT5,Pre-exposure,Heat-stressed,123.849,195.225,63.439108720706884
ADIG06,BT5,Pre-exposure,Heat-stressed,163.369,195.073,83.74762268484106
ADIG06,BT6,Pre-exposure,Control,119.959,184.373,65.06321424503588
ADIG06,BT6,Pre-exposure,Control,121.388,184.227,65.89045036829563
ADIG06,BT7,Pre-exposure,Heat-stressed,111.125,193.249,57.503531712971345
ADIG06,BT7,Pre-exposure,Heat-stressed,107.344,193.275,55.53951623334626
ADIG06,BT8,Pre-exposure,Control,89.267,185.85,48.03174603174603
ADIG06,BT8,Pre-exposure,Control,112.646,185.524,60.717750803130585
ADIG07,BT1,Pre-exposure,Control,96.387,168.79,57.104686296581555
ADIG07,BT1,Pre-exposure,Control,105.778,168.652,62.71968313450182
ADIG07,BT2,Pre-exposure,Control,90.9,176.662,51.45418935594526
ADIG07,BT2,Pre-exposure,Control,132.377,176.918,74.82392973015747
ADIG07,BT3,Pre-exposure,Heat-stressed,117.323,187.369,62.61601438871958
ADIG07,BT3,Pre-exposure,Heat-stressed,149.276,186.846,79.89253181764661
ADIG07,BT4,Pre-exposure,Heat-stressed,137.169,191.627,71.58124898892119
ADIG07,BT4,Pre-exposure,Heat-stressed,125.783,192.188,65.44789476970467
ADIG07,BT5,Pre-exposure,Heat-stressed,125.825,187.875,66.97272122421823
ADIG07,BT5,Pre-exposure,Heat-stressed,123.334,188.003,65.60214464662799
ADIG07,BT6,Pre-exposure,Control,110.085,171.93,64.02896527656604
ADIG07,BT6,Pre-exposure,Control,98.709,172.302,57.288365776369396
ADIG07,BT7,Pre-exposure,Heat-stressed,129.609,185.593,69.83506921058445
ADIG07,BT7,Pre-exposure,Heat-stressed,126.531,185.879,68.07170255919173
ADIG07,BT8,Pre-exposure,Control,129.008,187.603,68.76649094097642
ADIG07,BT8,Pre-exposure,Control,122.965,188.175,65.34608741862627
ADIG08,BT1,Pre-exposure,Control,92.714,176.38,52.564916657217374
ADIG08,BT1,Pre-exposure,Control,79.265,176.759,44.8435440345329
ADIG08,BT2,Pre-exposure,Control,110.799,177.078,62.570731542032334
ADIG08,BT2,Pre-exposure,Control,137.895,176.875,77.96183745583039
ADIG08,BT3,Pre-exposure,Heat-stressed,131.593,194.125,67.78776561493882
ADIG08,BT3,Pre-exposure,Heat-stressed,120.273,194.446,61.854190880758665
ADIG08,BT4,Pre-exposure,Heat-stressed,116.059,185.685,62.50316396047069
ADIG08,BT4,Pre-exposure,Heat-stressed,107.952,185.867,58.08024017173571
ADIG08,BT5,Pre-exposure,Heat-stressed,129.25,183.298,70.51358989187007
ADIG08,BT5,Pre-exposure,Heat-stressed,113.785,183.317,62.0700753339843
ADIG08,BT6,Pre-exposure,Control,129.113,178.484,72.33869702606395
ADIG08,BT6,Pre-exposure,Control,131.304,178.708,73.47404704881707
ADIG08,BT7,Pre-exposure,Heat-stressed,112.388,173.729,64.69155984320408
ADIG08,BT7,Pre-exposure,Heat-stressed,113.091,173.527,65.17199052597003
ADIG08,BT8,Pre-exposure,Control,108.88,179.438,60.67834015091563
ADIG08,BT8,Pre-exposure,Control,103.571,179.215,57.791479507853694
ADIG09,BT1,Pre-exposure,Control,81.879,176.024,46.51581602508749
ADIG09,BT1,Pre-exposure,Control,85.376,175.833,48.55516313775003
ADIG09,BT2,Pre-exposure,Control,119.315,176.969,67.42141278981065
ADIG09,BT2,Pre-exposure,Control,152.386,177.027,86.08065436345869
ADIG09,BT3,Pre-exposure,Heat-stressed,144.99,192.265,75.4115413621824
ADIG09,BT3,Pre-exposure,Heat-stressed,107.513,192.684,55.79757530464388
ADIG09,BT4,Pre-exposure,Heat-stressed,104.556,183.717,56.911445320792296
ADIG09,BT4,Pre-exposure,Heat-stressed,125.427,184.108,68.12686032111587
ADIG09,BT5,Pre-exposure,Heat-stressed,108.08,188.885,57.220001588268
ADIG09,BT5,Pre-exposure,Heat-stressed,109.326,189.299,57.75307846317202
ADIG09,BT6,Pre-exposure,Control,95.43,180.266,52.93843542320793
ADIG09,BT6,Pre-exposure,Control,92.879,180.434,51.47533170023388
ADIG09,BT7,Pre-exposure,Heat-stressed,105.777,186.44,56.73514267324609
ADIG09,BT7,Pre-exposure,Heat-stressed,108.012,186.132,58.029785313648375
ADIG09,BT8,Pre-exposure,Control,133.888,182.752,73.26212572229032
ADIG09,BT8,Pre-exposure,Control,132.909,183.374,72.47974085748253
ADIG10,BT1,Pre-exposure,Control,88.276,174.428,50.60884720343064
ADIG10,BT1,Pre-exposure,Control,125.917,174.854,72.01265055417663
ADIG10,BT2,Pre-exposure,Control,92.114,185.075,49.77117384843982
ADIG10,BT2,Pre-exposure,Control,129.338,184.922,69.94192145877722
ADIG10,BT3,Pre-exposure,Heat-stressed,105.085,196.695,53.425353974427416
ADIG10,BT3,Pre-exposure,Heat-stressed,152.466,196.758,77.4890982831702
ADIG10,BT4,Pre-exposure,Heat-stressed,115.731,190.337,60.80320694347394
ADIG10,BT4,Pre-exposure,Heat-stressed,88.324,190.318,46.40864237749451
ADIG10,BT5,Pre-exposure,Heat-stressed,111.483,186.823,59.6730595269319
ADIG10,BT5,Pre-exposure,Heat-stressed,62.573,187.504,33.37155474016554
ADIG10,BT6,Pre-exposure,Control,135.454,193.941,69.84289036356418
ADIG10,BT6,Pre-exposure,Control,171.915,194.406,88.4309126261535
ADIG10,BT7,Pre-exposure,Heat-stressed,83.408,180.238,46.2765898423196
ADIG10,BT7,Pre-exposure,Heat-stressed,94.364,179.921,52.44746305322893
ADIG10,BT8,Pre-exposure,Control,126.104,185.995,67.79967203419447
ADIG10,BT8,Pre-exposure,Control,115.83,185.786,62.345924881315064
ADIG11,BT1,Pre-exposure,Control,91.057,173.759,52.40419201307559
ADIG11,BT1,Pre-exposure,Control,119.009,173.478,68.60178235856996
ADIG11,BT2,Pre-exposure,Control,106.26,174.715,60.81904816415305
ADIG11,BT2,Pre-exposure,Control,88.776,173.872,51.05824974694028
ADIG11,BT3,Pre-exposure,Heat-stressed,94.241,174.096,54.13162852678982
ADIG11,BT3,Pre-exposure,Heat-stressed,135.897,174.166,78.02728431496388
ADIG11,BT4,Pre-exposure,Heat-stressed,96.579,183.82,52.53998476770754
ADIG11,BT4,Pre-exposure,Heat-stressed,152.134,184.604,82.41099867825181
ADIG11,BT5,Pre-exposure,Heat-stressed,117.154,178.559,65.61080651213325
ADIG11,BT5,Pre-exposure,Heat-stressed,77.955,179.03,43.54298162319164
ADIG11,BT6,Pre-exposure,Control,123.289,189.49,65.0635917462663
ADIG11,BT6,Pre-exposure,Control,144.572,189.644,76.2333635654173
ADIG11,BT7,Pre-exposure,Heat-stressed,111.513,156.229,71.37791319153294
ADIG11,BT7,Pre-exposure,Heat-stressed,75.538,156.16,48.37218237704918
ADIG11,BT8,Pre-exposure,Control,142.914,184.369,77.51520049466016
ADIG11,BT8,Pre-exposure,Control,139.16,184.485,75.43160690571048
ADIG12,BT1,Pre-exposure,Control,110.088,180.977,60.82982920481608
ADIG12,BT1,Pre-exposure,Control,99.052,180.895,54.756626772437045
ADIG12,BT2,Pre-exposure,Control,86.888,186.064,46.69791039642274
ADIG12,BT2,Pre-exposure,Control,98.861,186.512,53.005168568242254
ADIG12,BT3,Pre-exposure,Heat-stressed,139.545,208.276,67.00003841057058
ADIG12,BT3,Pre-exposure,Heat-stressed,98.9,208.733,47.38110408991391
ADIG12,BT4,Pre-exposure,Heat-stressed,116.975,177.364,65.95194064184389
ADIG12,BT4,Pre-exposure,Heat-stressed,89.897,177.421,50.66874834433354
ADIG12,BT5,Pre-exposure,Heat-stressed,135.256,196.056,68.9884522789407
ADIG12,BT5,Pre-exposure,Heat-stressed,102.316,196.274,52.1291663694631
ADIG12,BT6,Pre-exposure,Control,136.713,186.705,73.22407005704184
ADIG12,BT6,Pre-exposure,Control,127.318,186.706,68.19170246269536
ADIG12,BT7,Pre-exposure,Heat-stressed,99.968,183.316,54.533155862008776
